id,value
id_0,2.83056383065367
id_1,15.677412915142536
id_2,21.506775459641702
id_3,5.865113415471767
id_4,25.4647717074009
id_5,21.308037697509068
id_6,23.030185703106884
id_7,28.881393700422247
id_8,14.789982822996286
id_9,59.09243473873166
id_10,12.073194152330897
id_11,8.53207408125128
id_12,64.55623609229018
id_13,52.08347912934789
id_14,23.43313724914357
id_15,11.937128397423
id_16,29.82969834664926
id_17,67.41959243603344
id_18,-1.1996869016953262
id_19,17.392208601320153
id_20,41.321725677377835
id_21,69.57541367430984
id_22,9.880011459080972
id_23,18.76613004699196
id_24,14.19291463590243
id_25,40.0546359696319
id_26,14.980442356487957
id_27,71.06043542832732
id_28,6.650034090667381
id_29,54.024888439953855
id_30,21.283953984732136
id_31,6.675733041210828
id_32,2.02108313417099
id_33,18.202271319467005
id_34,26.94308411036385
id_35,38.69478451635865
id_36,43.063469936473965
id_37,28.93029251063757
id_38,44.01729975016506
id_39,34.31016084655749
id_40,7.421217244459375
id_41,37.83270116811638
id_42,29.382844692431046
id_43,48.647312118750094
id_44,15.250623403334561
id_45,36.61107630313097
id_46,24.88021930133535
id_47,9.687086953172688
id_48,24.469947635846317
id_49,33.28162413112127
id_50,19.20119578031302
id_51,9.245740096858786
id_52,16.985012128409323
id_53,53.6934446679991
id_54,15.16255475131531
id_55,33.906269312159296
id_56,33.305468828952996
id_57,19.96414868117545
id_58,57.54112353098061
id_59,19.50887292655677
id_60,11.058397225264514
id_61,42.546180122711846
id_62,11.655014388889702
id_63,48.62579295998375
id_64,12.480830199574287
id_65,14.799912672612416
id_66,11.132296683035474
id_67,-0.4112743485524799
id_68,41.666245525303
id_69,30.919509166014848
id_70,20.588391725008556
id_71,40.73582445090478
id_72,56.210555775020964
id_73,6.192315647176947
id_74,17.90792169831833
id_75,6.689810976407497
id_76,35.48274123019281
id_77,13.463805263006268
id_78,22.464961153614517
id_79,20.411957309906395
id_80,22.157599164278523
id_81,36.16479216033188
id_82,21.38495815857538
id_83,92.68029041788627
id_84,35.22462894558628
id_85,25.845983678534353
id_86,22.372842250833408
id_87,33.91162506862362
id_88,23.74477805284759
id_89,20.866955272483057
id_90,30.546800179056223
id_91,42.385795341726535
id_92,2.996893928663784
id_93,36.53333685668889
id_94,45.69927506056537
id_95,15.710135137523874
id_96,31.236983766543073
id_97,12.395059224101981
id_98,23.62256623060134
id_99,2.274134068259105
id_100,19.561061543307773
id_101,28.348609351436373
id_102,13.56966007222985
id_103,15.386035541896524
id_104,21.312067531485237
id_105,39.1086264851663
id_106,28.514215270888833
id_107,7.257802388185013
id_108,6.305792007275707
id_109,78.11283354105059
id_110,47.407966526095436
id_111,15.314228736164461
id_112,26.422057622909055
id_113,15.482869786142329
id_114,13.683143737274783
id_115,24.682773743421702
id_116,25.17739760337624
id_117,8.729853869749025
id_118,15.168422955051234
id_119,18.047396568052147
id_120,81.76687653658635
id_121,25.3451378596633
id_122,36.39625848032829
id_123,25.063038618927663
id_124,7.242313708643355
id_125,38.48144723643135
id_126,7.555405650275442
id_127,21.550416256905173
id_128,27.8008568926374
id_129,64.73100001492887
id_130,21.008817743971566
id_131,21.78870937306832
id_132,59.358228890760856
id_133,15.489138574683196
id_134,13.817176353917016
id_135,0.13676773889030258
id_136,10.705791304833436
id_137,59.37802696481933
id_138,17.380599737363255
id_139,5.6496558448966105
id_140,26.10130665341469
id_141,24.43735784187196
id_142,46.02234440334155
id_143,28.704677425879353
id_144,17.43819667637738
id_145,25.54654461031984
id_146,9.756933714211387
id_147,51.290973837449116
id_148,20.83783492119506
id_149,38.74795670777846
id_150,8.935802807655788
id_151,8.279097494390982
id_152,22.125970298174387
id_153,7.177790797737518
id_154,17.137124755110385
id_155,41.577577367960664
id_156,7.193863891867773
id_157,36.284532592177285
id_158,7.1666687277904995
id_159,18.076061938111202
id_160,41.1435551523877
id_161,17.865062579132708
id_162,10.9132063531505
id_163,8.324922251086635
id_164,47.78673081730996
id_165,29.1915620455742
id_166,-0.9510442622782485
id_167,13.2012849833395
id_168,62.336883451377034
id_169,12.249193387201167
id_170,65.67467429155525
id_171,39.09484740245095
id_172,24.272497634371728
id_173,19.44462934662922
id_174,57.28678793991312
id_175,24.89532543624569
id_176,20.85408249652797
id_177,37.20013846944463
id_178,12.156223423176481
id_179,30.427810195189547
id_180,15.271172307221688
id_181,11.029890571961605
id_182,55.57737313640513
id_183,46.15685658264806
id_184,15.710507023819446
id_185,35.83954386340324
id_186,25.006860590783784
id_187,69.34302550294211
id_188,8.560533334752545
id_189,56.17643952593008
id_190,36.96535527269515
id_191,17.878379416622717
id_192,30.25409330159291
id_193,0.1827726430824974
id_194,18.66191623353409
id_195,1.585534323764687
id_196,32.86211126218836
id_197,11.183797594859815
id_198,19.679038689639757
id_199,59.231272265737985
id_200,22.861411774655156
id_201,22.93527857216525
id_202,63.74764003089632
id_203,11.27397121632748
id_204,9.518058503637247
id_205,10.758689303456826
id_206,7.689705940964952
id_207,0.788731525610606
id_208,126.91934010900636
id_209,19.68018755004803
id_210,14.980926667210083
id_211,12.477570654854146
id_212,37.01600738393705
id_213,35.881446203340076
id_214,19.662794251647135
id_215,34.73065688806183
id_216,73.28346281748759
id_217,0.1761894722285966
id_218,10.190278884043284
id_219,31.069799310652762
id_220,14.441605952564704
id_221,12.043370787939734
id_222,108.47204677000914
id_223,10.64818035795438
id_224,16.835526395924607
id_225,61.62806943556653
id_226,14.976325822225956
id_227,18.47799976017165
id_228,10.078063846477008
id_229,8.36620025552352
id_230,45.93267163059288
id_231,11.919585634770684
id_232,53.91405608193578
id_233,40.36925837190844
id_234,24.208635210756274
id_235,39.90034240787846
id_236,66.76365994329308
id_237,42.04898401541692
id_238,12.380955829268789
id_239,16.584203406508514
